Search_method Problem Max_evals Run Score
hill_climber_cliff_score knapPI_16_200_1000_4 10000 36 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 37 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 38 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 39 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 40 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 41 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 42 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 43 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 44 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 45 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 46 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 47 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 48 0
hill_climber_cliff_score knapPI_16_200_1000_4 10000 49 0
hill_climber_restart knapPI_11_20_1000_4 10000 0 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 1 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 2 1360N
hill_climber_restart knapPI_11_20_1000_4 10000 3 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 4 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 5 1440N
hill_climber_restart knapPI_11_20_1000_4 10000 6 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 7 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 8 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 9 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 10 1440N
hill_climber_restart knapPI_11_20_1000_4 10000 11 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 12 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 13 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 14 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 15 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 16 1440N
